Gas Boiler Output (MWh),Oil Boiler Output (MWh),Gas Motor Output (MWh),Electric Boiler Output (MWh),Total Electricity Production (MWh),Total Electricity Consumption (MWh),Total Production Cost (DKK/MWh),Total Gas Consumption (MWh(gas)),Total Oil Consumption (MWh(oil)),Total CO2 Emissions (kg)
0,0,0,1.79,0,1.79,1435.63,0,0,0
0,0,0,1.85,0,1.85,1370.94,0,0,0
0,0,0,1.76,0,1.76,1275.61,0,0,0
0,0,0,1.67,0,1.67,1173.93,0,0,0
0,0,0,1.73,0,1.73,1239.20,0,0,0
0,0,0,1.79,0,1.79,1261.23,0,0,0
0,0,0,1.82,0,1.82,1250.43,0,0,0
0,0,0,1.81,0,1.81,1247.90,0,0,0
0,0,0,1.84,0,1.84,1248.04,0,0,0
0,0,0,1.88,0,1.88,1166.16,0,0,0
0,0,0,2,0,2,1013.50,0,0,0
0,0,0,1.86,0,1.86,739.16,0,0,0
0,0,0,1.78,0,1.78,559.19,0,0,0
0,0,0,1.6,0,1.6,280.53,0,0,0
0,0,0,1.57,0,1.57,275.50,0,0,0
0,0,0,1.55,0,1.55,542.50,0,0,0
0,0,0,1.57,0,1.57,795.60,0,0,0
0,0,0,1.53,0,1.53,1033.52,0,0,0
0,0,0,1.52,0,1.52,1299.22,0,0,0
0,0,0,1.5,0,1.5,1436.25,0,0,0
0,0,0,1.5,0,1.5,1523.55,0,0,0
0,0,0,1.48,0,1.48,1548.75,0,0,0
0,0,0,1.51,0,1.51,1544.58,0,0,0
0,0,0,1.55,0,1.55,1425.07,0,0,0
0,0,0,1.54,0,1.54,1341.03,0,0,0
0,0,0,1.47,0,1.47,1195.18,0,0,0
0,0,0,1.41,0,1.41,1147.25,0,0,0
0,0,0,1.43,0,1.43,1095.09,0,0,0
0,0,0,1.43,0,1.43,1098.85,0,0,0
0,0,0,1.45,0,1.45,1126.51,0,0,0
0,0,0,1.47,0,1.47,1117.35,0,0,0
0,0,0,1.5,0,1.5,1101.00,0,0,0
0,0,0,1.62,0,1.62,1128.82,0,0,0
0,0,0,1.7,0,1.7,1068.16,0,0,0
0,0,0,1.74,0,1.74,871.57,0,0,0
0,0,0,1.68,0,1.68,715.51,0,0,0
0,0,0,1.58,0,1.58,620.43,0,0,0
0,0,0,1.45,0,1.45,474.77,0,0,0
0,0,0,1.43,0,1.43,552.52,0,0,0
0,0,0,1.42,0,1.42,658.35,0,0,0
0,0,0,1.47,0,1.47,878.10,0,0,0
0,0,0,1.46,0,1.46,975.28,0,0,0
0,0,0,1.5,0,1.5,1249.62,0,0,0
0,0,0,1.5,0,1.5,1449.87,0,0,0
0,0,0,1.44,0,1.44,1497.60,0,0,0
0,0,0,1.45,0,1.45,1530.84,0,0,0
0,0,0,1.44,0,1.44,1498.90,0,0,0
0,0,0,1.47,0,1.47,1392.09,0,0,0
0,0,0,1.4,0,1.4,1251.15,0,0,0
0,0,0,1.32,0,1.32,1075.80,0,0,0
0,0,0,1.28,0,1.28,969.28,0,0,0
0,0,0,1.33,0,1.33,983.60,0,0,0
0,0,0,1.35,0,1.35,1012.27,0,0,0
0,0,0,1.35,0,1.35,1132.04,0,0,0
0,0,0,1.42,0,1.42,1366.79,0,0,0
0,0,0,1.49,0,1.49,1558.32,0,0,0
0,0,0,1.55,0,1.55,1638.40,0,0,0
0,0,0,1.58,0,1.58,1476.72,0,0,0
0,0,0,1.68,0,1.68,1410.53,0,0,0
0,0,0,1.73,0,1.73,1319.00,0,0,0
0,0,0,1.68,0,1.68,1208.31,0,0,0
0,0,0,1.62,0,1.62,1054.94,0,0,0
0,0,0,1.51,0,1.51,805.63,0,0,0
0,0,0,1.53,0,1.53,785.78,0,0,0
0,0,0,1.46,0,1.46,762.19,0,0,0
0,0,0,1.51,0,1.51,985.58,0,0,0
0,0,0,1.55,0,1.55,1495.41,0,0,0
0,0,0,1.53,0,1.53,1975.51,0,0,0
0,0,0,1.5,0,1.5,2053.77,0,0,0
0,0,0,1.49,0,1.49,2086.79,0,0,0
0,0,0,1.47,0,1.47,1869.69,0,0,0
0,0,0,1.57,0,1.57,1652.82,0,0,0
0,0,0,1.53,0,1.53,1504.11,0,0,0
