Gas Boiler Output (MWh),Oil Boiler Output (MWh),Gas Motor Output (MWh),Electric Boiler Output (MWh),Total Electricity Production (MWh),Total Electricity Consumption (MWh),Total Production Cost (DKK/MWh),Total Gas Consumption (MWh(gas)),Total Oil Consumption (MWh(oil)),Total CO2 Emissions (kg)
0,0,0,6.62,0,6.62,8215.02,0,0,0
0,0,0,6.85,0,6.85,8251.17,0,0,0
0,0,0,6.98,0,6.98,8140.22,0,0,0
0,0,0,7.04,0,7.04,8103.88,0,0,0
0,0,0,7.72,0,7.72,8771.77,0,0,0
0,0,0,7.85,0,7.85,9102.31,0,0,0
0,0,0,8,0,8,10859.20,0,0,0
0,0,0,7.62,0,7.62,11531.35,0,0,0
0,0,0,7.55,0,7.55,12523.79,0,0,0
0,0,0,7.6,0,7.6,10333.72,0,0,0
0,0,0,7.75,0,7.75,7769.45,0,0,0
0,0,0,7.06,0,7.06,6586.49,0,0,0
0,0,0,6.68,0,6.68,6080.87,0,0,0
0,0,0,6.73,0,6.73,6089.84,0,0,0
0,0,0,6.84,0,6.84,6156.82,0,0,0
0,0,0,7.3,0,7.3,7176.56,0,0,0
0,0,0,7.39,0,7.39,7414.09,0,0,0
0,0,0,7.68,0,7.68,7688.45,0,0,0
0,0,0,7.38,0,7.38,6016.25,0,0,0
0,0,0,7.4,0,7.4,5671.88,0,0,0
0,0,0,7.56,0,7.56,5642.03,0,0,0
0,0,0,7.69,0,7.69,5500.96,0,0,0
0,0,0,7.66,0,7.66,5465.87,0,0,0
0,0,0,7.54,0,7.54,5178.25,0,0,0
0,0,0,7.58,0,7.58,5043.05,0,0,0
0,0,0,7.68,0,7.68,4906.68,0,0,0
0,0,0,7.71,0,7.71,4840.95,0,0,0
0,0,0,7.7,0,7.7,4832.98,0,0,0
0,0,0,8,0,8,5065.28,0,0,0
0,0,0,8,0,8,5343.92,0,0,0
0,0,0,8,0,8,5433.84,0,0,0
0,0,0,7.79,0,7.79,5757.28,0,0,0
0,0,0,7.64,0,7.64,6262.20,0,0,0
0,0,0,7.71,0,7.71,6575.47,0,0,0
0,0,0,7.64,0,7.64,6352.05,0,0,0
0,0,0,6.99,0,6.99,5360.63,0,0,0
0,0,0,6.39,0,6.39,4744.96,0,0,0
0,0,0,6.22,0,6.22,4530.34,0,0,0
0,0,0,6.28,0,6.28,4377.29,0,0,0
0,0,0,6.78,0,6.78,4715.69,0,0,0
0,0,0,7.01,0,7.01,4907.49,0,0,0
0,0,0,7.18,0,7.18,5005.61,0,0,0
0,0,0,6.65,0,6.65,4653.01,0,0,0
0,0,0,6.72,0,6.72,4626.92,0,0,0
0,0,0,6.86,0,6.86,4632.49,0,0,0
0,0,0,6.83,0,6.83,4585.25,0,0,0
0,0,0,6.86,0,6.86,4627.89,0,0,0
0,0,0,6.78,0,6.78,4543.62,0,0,0
0,0,0,6.8,0,6.8,4290.73,0,0,0
0,0,0,6.8,0,6.8,4367.64,0,0,0
0,0,0,6.82,0,6.82,4584.54,0,0,0
0,0,0,6.95,0,6.95,4759.29,0,0,0
0,0,0,7.73,0,7.73,5487.30,0,0,0
0,0,0,7.9,0,7.9,5978.40,0,0,0
0,0,0,8,0,8,6766.08,0,0,0
0,0,0,7.62,0,7.62,9798.41,0,0,0
0,0,0,7.64,0,7.64,10394.37,0,0,0
0,0,0,7.44,0,7.44,8349.39,0,0,0
0,0,0,7.26,0,7.26,6518.46,0,0,0
0,0,0,7.03,0,7.03,5555.95,0,0,0
0,0,0,6.77,0,6.77,5121.23,0,0,0
0,0,0,6.72,0,6.72,4846.33,0,0,0
0,0,0,6.9,0,6.9,4593.12,0,0,0
0,0,0,7.34,0,7.34,4834.12,0,0,0
0,0,0,7.48,0,7.48,4841.13,0,0,0
0,0,0,7.45,0,7.45,4867.76,0,0,0
0,0,0,6.92,0,6.92,4450.39,0,0,0
0,0,0,6.82,0,6.82,4283.03,0,0,0
0,0,0,6.78,0,6.78,4027.86,0,0,0
0,0,0,6.68,0,6.68,3860.57,0,0,0
0,0,0,6.56,0,6.56,3602.75,0,0,0
0,0,0,6.46,0,6.46,2486.39,0,0,0
0,0,0,6.35,0,6.35,3859.66,0,0,0
0,0,0,6.31,0,6.31,3961.67,0,0,0
0,0,0,6.37,0,6.37,3992.72,0,0,0
0,0,0,6.43,0,6.43,4008.78,0,0,0
0,0,0,7.04,0,7.04,4411.12,0,0,0
0,0,0,6.96,0,6.96,4291.05,0,0,0
0,0,0,6.96,0,6.96,4391.55,0,0,0
0,0,0,6.61,0,6.61,4214.47,0,0,0
0,0,0,6.82,0,6.82,4401.70,0,0,0
0,0,0,6.89,0,6.89,4527.90,0,0,0
0,0,0,6.69,0,6.69,4434.33,0,0,0
0,0,0,6.62,0,6.62,4350.47,0,0,0
0,0,0,6.5,0,6.5,4225.20,0,0,0
0,0,0,6.4,0,6.4,4184.96,0,0,0
0,0,0,6.58,0,6.58,4340.83,0,0,0
0,0,0,6.2,0,6.2,4025.10,0,0,0
0,0,0,6.29,0,6.29,4467.47,0,0,0
0,0,0,6.07,0,6.07,4820.98,0,0,0
0,0,0,6.27,0,6.27,5535.28,0,0,0
0,0,0,6.3,0,6.3,5414.91,0,0,0
0,0,0,6.25,0,6.25,4957.88,0,0,0
0,0,0,6.16,0,6.16,4811.27,0,0,0
0,0,0,6.23,0,6.23,4694.37,0,0,0
0,0,0,6.09,0,6.09,4604.28,0,0,0
0,0,0,6.05,0,6.05,6144.99,0,0,0
0,0,0,6.05,0,6.05,5954.47,0,0,0
0,0,0,6.06,0,6.06,6248.53,0,0,0
0,0,0,6.24,0,6.24,6238.07,0,0,0
0,0,0,6.75,0,6.75,6290.19,0,0,0
0,0,0,6.74,0,6.74,6302.44,0,0,0
0,0,0,6.72,0,6.72,5739.89,0,0,0
0,0,0,6.27,0,6.27,5735.98,0,0,0
0,0,0,6.51,0,6.51,7205.92,0,0,0
0,0,0,6.71,0,6.71,7077.57,0,0,0
0,0,0,6.59,0,6.59,6933.87,0,0,0
0,0,0,6.41,0,6.41,6091.68,0,0,0
0,0,0,6.28,0,6.28,5279.03,0,0,0
0,0,0,6.26,0,6.26,5051.07,0,0,0
0,0,0,6.53,0,6.53,5163.47,0,0,0
0,0,0,6.48,0,6.48,5079.02,0,0,0
0,0,0,6.45,0,6.45,5984.70,0,0,0
0,0,0,6.14,0,6.14,7204.98,0,0,0
0,0,0,6.3,0,6.3,8171.29,0,0,0
0,0,0,6.17,0,6.17,6494.73,0,0,0
0,0,0,6.1,0,6.1,6419.21,0,0,0
0,0,0,6.09,0,6.09,5159.20,0,0,0
0,0,0,6.09,0,6.09,4977.84,0,0,0
0,0,0,6.03,0,6.03,4732.65,0,0,0
0,0,0,6.08,0,6.08,5004.51,0,0,0
0,0,0,6.18,0,6.18,4962.60,0,0,0
0,0,0,6.26,0,6.26,5018.45,0,0,0
0,0,0,6.39,0,6.39,5220.18,0,0,0
0,0,0,6.96,0,6.96,5730.38,0,0,0
0,0,0,7.09,0,7.09,6155.18,0,0,0
0,0,0,7.34,0,7.34,8960.08,0,0,0
0,0,0,6.84,0,6.84,10326.48,0,0,0
